tool,script,language,grammar,string,tokens,algorithm,result,Runs,TMin,TMax,TMean,TStdev,TMedian,Outlier threshold,Dropped,TMeanAfterDrop,TStdedAfterDrop,TMeanQ123,TStdedQ123,Results...
art.jar,earleyIndexedPoolV3_g++.bat,C,ansi_c/earleyTableDataReject/ansi_c.art,rhul/earleyTableDataReject/c3.tok.reject,36827,ARTEarleyIndexedPool (C),reject,100,142.653,159.791,154.813, 2.807,155.004,157.505,12,156.117, 3.191,154.033, 2.747,***,
art.jar,earleyTableIndexedPoolV3.bat,C,ansi_c/earleyTableDataReject/ansi_c.art,rhul/earleyTableDataReject/c3.tok.reject,36827,ARTEarleyTableIndexedPool,reject,100,115.563,164.919,130.169, 9.319,129.217,157.206,2,131.142, 8.823,125.948, 5.726,***,
art.jar,earleyTableIndexedPoolV3_g++.bat,Pascal,iso_pascal_7185/earleyTableDataReject/pascal.art,rhul/earleyTableDataReject/pascal2.tok.reject,4480,ARTEarleyTableIndexedPool (C),reject,100,9.627,10.552,10.026, 0.169,10.035,10.506,2,10.123, 0.193, 9.957, 0.129,***,
art.jar,earleyTableIndexedPoolV3_g++.bat,SML,sml97/earleyTableDataReject/smlSLE25ET.art,MLWorks/earleyTableDataReject/_yacc.tok.reject,5011,ARTEarleyTableIndexedPool (C),reject,100,11.335,12.367,11.724, 0.169,11.734,12.122,3,11.834, 0.194,11.660, 0.126,***,
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,Java,jls13/earleyTableDataReject/jls13EASMODAJ2024.gtb,rhul/earleyTableDataReject/java3.tok.reject,40311,BRNLGR (GTB with Pool),reject,100,503.785,583.366,518.612,12.690,512.994,558.522,2,523.243,12.215,512.443, 4.735,***,
art.jar,earleyTableIndexedPoolV3.bat,Java,jls13/earleyTableDataReject/jls13EAS.art,rhul/earleyTableDataReject/java1.tok.reject,1429,ARTEarleyTableIndexedPool,reject,100,18.939,33.679,23.603, 2.081,23.229,28.646,2,23.741, 1.850,22.700, 1.199,***,
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,C,ansi_c/earleyTableDataReject/ansi_c.gtb,rhul/earleyTableDataReject/c2.tok.reject,26551,BRNLGR (GTB with Pool),reject,100,53.868,99.835,63.811,10.867,59.623,73.013,14,60.602, 3.362,58.857, 1.787,***,
art.jar,earleyIndexedPoolV3.bat,SML,sml97/earleyTableDataReject/smlSLE25ET.art,MLWorks/earleyTableDataReject/_simplelambda.tok.reject,18565,ARTEarleyIndexedPool,reject,100,302.928,429.803,338.943,17.383,340.183,375.280,3,341.110,14.873,332.224,11.388,***,
art.jar,earleyTableIndexedPoolV3_g++.bat,C,ansi_c/earleyTableDataReject/ansi_c.art,rhul/earleyTableDataReject/c1.tok.reject,4291,ARTEarleyTableIndexedPool (C),reject,100,8.894,9.838, 9.157, 0.184, 9.127, 9.427,11, 9.211, 0.154, 9.072, 0.081,***,
art.jar,earleyIndexedPoolV3_g++.bat,C,ansi_c/earleyTableDataReject/ansi_c.art,rhul/earleyTableDataReject/c1.tok.reject,4291,ARTEarleyIndexedPool (C),reject,100,15.849,17.654,16.151, 0.307,16.030,16.670,7,16.268, 0.267,16.008, 0.093,***,
art.jar,earleyTableIndexedPoolV3.bat,C,ansi_c/earleyTableDataReject/ansi_c.art,rhul/earleyTableDataReject/c1.tok.reject,4291,ARTEarleyTableIndexedPool,reject,100,32.243,42.588,36.614, 2.673,35.837,42.406,2,36.926, 2.658,35.279, 1.299,***,
art.jar,earleyTableIndexedPoolV3.bat,Java,jls13/earleyTableDataReject/jls13EAS.art,rhul/earleyTableDataReject/java3.tok.reject,40311,ARTEarleyTableIndexedPool,reject,100,132.067,196.388,157.810,10.670,155.793,175.919,8,157.334, 7.433,153.006, 4.906,***,
art.jar,earleyTableIndexedPoolV3.bat,SML,sml97/earleyTableDataReject/smlSLE25ET.art,MLWorks/earleyTableDataReject/lego_lex.tok.reject,3031,ARTEarleyTableIndexedPool,reject,100,31.476,45.356,37.069, 3.988,34.841,53.076,1,37.443, 4.026,35.212, 2.654,***,
art.jar,earleyTableIndexedPoolV3_g++.bat,Java,jls13/earleyTableDataReject/jls13EAS.art,rhul/earleyTableDataReject/java2.tok.reject,19085,ARTEarleyTableIndexedPool (C),reject,100,37.082,38.444,37.915, 0.344,37.986,38.784,1,38.298, 0.519,37.797, 0.317,***,
art.jar,earleyIndexedPoolV3.bat,C,ansi_c/earleyTableDataReject/ansi_c.art,rhul/earleyTableDataReject/c2.tok.reject,26551,ARTEarleyIndexedPool,reject,100,258.175,511.515,335.630,63.215,304.902,563.771,1,339.020,63.629,303.584,29.755,***,
art.jar,earleyIndexedPoolV3_g++.bat,Pascal,iso_pascal_7185/earleyTableDataReject/pascal.art,rhul/earleyTableDataReject/pascal1.tok.reject,4425,ARTEarleyIndexedPool (C),reject,100,8.814,9.416, 9.048, 0.094, 9.033, 9.180,10, 9.125, 0.116, 9.009, 0.048,***,
art.jar,earleyIndexedPoolV3_g++.bat,Pascal,iso_pascal_7185/earleyTableDataReject/pascal.art,rhul/earleyTableDataReject/pascal2.tok.reject,4480,ARTEarleyIndexedPool (C),reject,100,9.092,9.994, 9.321, 0.206, 9.247, 9.505,16, 9.352, 0.130, 9.224, 0.047,***,
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,Java,jls13/earleyTableDataReject/jls13EASMODAJ2024.gtb,rhul/earleyTableDataReject/java2.tok.reject,19085,BRNLGR (GTB with Pool),reject,100,150.674,165.306,157.547, 4.391,159.416,171.349,1,159.138, 4.697,155.774, 3.471,***,
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,COBOL,rhul/earleyTableDataReject/cob_rob.gtb,rhul/earleyTableDataReject/cobol1.tok.reject,2197,BRNLGR (GTB with Pool),reject,100,3.124,3.751, 3.365, 0.151, 3.325, 3.759,1, 3.399, 0.155, 3.291, 0.082,***,
art.jar,earleyIndexedPoolV3.bat,SML,sml97/earleyTableDataReject/smlSLE25ET.art,MLWorks/earleyTableDataReject/_yacc.tok.reject,5011,ARTEarleyIndexedPool,reject,100,48.418,57.355,52.993, 1.815,53.182,58.877,1,53.529, 1.903,52.269, 1.460,***,
art.jar,earleyTableIndexedPoolV3_g++.bat,Java,jls13/earleyTableDataReject/jls13EAS.art,rhul/earleyTableDataReject/java1.tok.reject,1429,ARTEarleyTableIndexedPool (C),reject,100,6.989,8.198, 7.402, 0.201, 7.422, 7.985,2, 7.469, 0.201, 7.325, 0.154,***,
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,SML,sml97/earleyTableDataReject/smlSLE25ET.gtb,MLWorks/earleyTableDataReject/_simplelambda.tok.reject,18565,BRNLGR (GTB with Pool),reject,100,104.105,111.832,108.973, 0.955,108.966,110.226,8,110.006, 1.436,108.649, 0.775,***,
art.jar,earleyTableIndexedPoolV3.bat,SML,sml97/earleyTableDataReject/smlSLE25ET.art,MLWorks/earleyTableDataReject/_yacc.tok.reject,5011,ARTEarleyTableIndexedPool,reject,100,38.712,52.32,44.203, 3.686,43.231,58.676,1,44.649, 3.732,42.561, 2.636,***,
art.jar,earleyTableIndexedPoolV3_g++.bat,SML,sml97/earleyTableDataReject/smlSLE25ET.art,MLWorks/earleyTableDataReject/_simplelambda.tok.reject,18565,ARTEarleyTableIndexedPool (C),reject,100,36.845,38.971,37.812, 0.397,37.880,38.843,2,38.186, 0.547,37.664, 0.329,***,
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,SML,sml97/earleyTableDataReject/smlSLE25ET.gtb,MLWorks/earleyTableDataReject/lego_lex.tok.reject,3031,BRNLGR (GTB with Pool),reject,100,6.544,8.019, 7.016, 0.202, 6.998, 7.496,2, 7.078, 0.191, 6.932, 0.127,***,
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,C,ansi_c/earleyTableDataReject/ansi_c.gtb,rhul/earleyTableDataReject/c1.tok.reject,4291,BRNLGR (GTB with Pool),reject,100,7.963,13.058, 8.962, 0.863, 8.731,10.189,13, 8.809, 0.481, 8.566, 0.315,***,
art.jar,earleyTableIndexedPoolV3_g++.bat,Pascal,iso_pascal_7185/earleyTableDataReject/pascal.art,rhul/earleyTableDataReject/pascal1.tok.reject,4425,ARTEarleyTableIndexedPool (C),reject,100,9.504,10.146, 9.866, 0.150, 9.862,10.301,1, 9.966, 0.182, 9.802, 0.113,***,
art.jar,earleyIndexedPoolV3_g++.bat,C,ansi_c/earleyTableDataReject/ansi_c.art,rhul/earleyTableDataReject/c2.tok.reject,26551,ARTEarleyIndexedPool (C),reject,100,107.581,118.849,116.481, 1.626,116.651,118.273,2,117.646, 2.020,116.109, 1.710,***,
art.jar,earleyTableIndexedPoolV3.bat,C,ansi_c/earleyTableDataReject/ansi_c.art,rhul/earleyTableDataReject/c2.tok.reject,26551,ARTEarleyTableIndexedPool,reject,100,87.364,111.917,97.395, 5.345,96.748,109.975,5,97.844, 4.777,94.938, 3.093,***,
art.jar,earleyTableIndexedPoolV3_g++.bat,SML,sml97/earleyTableDataReject/smlSLE25ET.art,MLWorks/earleyTableDataReject/lego_lex.tok.reject,3031,ARTEarleyTableIndexedPool (C),reject,100,7.909,9.178, 8.283, 0.177, 8.267, 8.621,5, 8.345, 0.152, 8.211, 0.092,***,
art.jar,earleyIndexedPoolV3.bat,Java,jls13/earleyTableDataReject/jls13EAS.art,rhul/earleyTableDataReject/java3.tok.reject,40311,ARTEarleyIndexedPool,reject,100,792.165,1010.796,876.433,36.037,871.136,987.678,2,884.006,34.912,860.610,23.734,***,
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,C,ansi_c/earleyTableDataReject/ansi_c.gtb,rhul/earleyTableDataReject/c3.tok.reject,36827,BRNLGR (GTB with Pool),reject,100,78.173,142.183,87.179,13.497,84.278,92.280,8,84.487, 2.519,82.863, 1.980,***,
