tool,script,language,grammar,string,tokens,algorithm,result,Runs,TMin,TMax,TMean,TStdev,TMedian,Outlier threshold,Dropped,TMeanAfterDrop,TStdedAfterDrop,Results...
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,Java,jls13/earleyTableData/jls13EASMODAJ2024.gtb,rhul/earleyTableData/java1.tok,1429,BRNLGR (GTB with Pool),accept,100,10.061,12.362,10.786, 0.291,10.793,11.644,2,10.880, 0.270,***,
art.jar,earleyTableIndexedPoolV3.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/java1.tok,1429,ARTEarleyTableIndexedPool,accept,100,24.575,37.457,29.152, 2.004,28.865,33.104,5,29.207, 1.628,***,
art.jar,earleyTableIndexedPoolV3_g++.bat,SML,sml97/earleyTableData/smlSLE25ET.art,MLWorks/earleyTableData/_simplelambda.tok,18565,ARTEarleyTableIndexedPool (C),accept,100,77.866,83.335,79.847, 0.906,79.814,81.050,10,80.516, 1.072,***,
art.jar,earleyTableIndexedPoolV3.bat,SML,sml97/earleyTableData/smlSLE25ET.art,MLWorks/earleyTableData/lego_lex.tok,3031,ARTEarleyTableIndexedPool,accept,100,35.455,49.203,41.813, 4.247,43.039,58.385,1,42.235, 4.290,***,
art.jar,earleyIndexedPoolV3_g++.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/java1.tok,1429,ARTEarleyIndexedPool (C),accept,100,16.586,18.609,16.954, 0.338,16.846,17.517,8,17.063, 0.267,***,
art.jar,earleyIndexedPoolV3_g++.bat,Pascal,iso_pascal_7185/earleyTableData/pascal.art,rhul/earleyTableData/pascal1.tok,4425,ARTEarleyIndexedPool (C),accept,100,13.583,14.433,13.859, 0.148,13.822,14.047,9,13.975, 0.173,***,
art.jar,earleyIndexedPoolV3_g++.bat,SML,sml97/earleyTableData/smlSLE25ET.art,MLWorks/earleyTableData/lego_lex.tok,3031,ARTEarleyIndexedPool (C),accept,100,13.344,14.317,13.635, 0.175,13.589,14.005,6,13.752, 0.193,***,
art.jar,earleyTableIndexedPoolV3.bat,Pascal,iso_pascal_7185/earleyTableData/pascal.art,rhul/earleyTableData/pascal1.tok,4425,ARTEarleyTableIndexedPool,accept,100,36.457,51.184,43.590, 3.685,44.786,57.094,1,44.031, 3.730,***,
art.jar,earleyIndexedPoolV3.bat,COBOL,rhul/earleyTableData/cob_rob.art,rhul/earleyTableData/cobol1.tok,2197,ARTEarleyIndexedPool,accept,100,91.96,146.335,123.137,15.891,127.195,179.036,1,124.381,16.021,***,
art.jar,earleyTableIndexedPoolV3.bat,SML,sml97/earleyTableData/smlSLE25ET.art,MLWorks/earleyTableData/_yacc.tok,5011,ARTEarleyTableIndexedPool,accept,100,44.787,65.591,52.249, 4.358,50.883,65.961,1,52.777, 4.412,***,
