tool,script,language,grammar,string,tokens,algorithm,result,Runs,TParseMin,TParseMax,TParseMean,TParseBestFiveMean,,Results...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,C,ansi_c/earleyTableData/ansi_c.gtb,rhul/earleyTableData/bool.tok,4291,BRNLGR (GTB with Pool),accept,30,15.066,16.433,15.489,15.242,***,15.066,15.267,15.282,15.296,15.3,15.341,15.367,15.396,15.404,15.409,15.412,15.423,15.425,15.447,15.453,15.458,15.47,15.476,15.48,15.486,15.503,15.518,15.529,15.544,15.559,15.58,15.627,15.733,15.974,16.433
art.jar,earleyIndexedPoolV3.bat,C,ansi_c/earleyTableData/ansi_c.art,rhul/earleyTableData/bool.tok,4291,ARTEarleyIndexedPool,accept,30,84.433,102.175,93.43,86.063,***,84.433,85.826,85.99,86.749,87.319,88.505,89.703,90.161,91.525,91.666,92.501,92.672,93.007,93.132,93.17,93.545,94.291,94.44,94.509,94.671,94.751,95.195,95.445,97.241,99.011,100.135,100.154,100.237,100.754,102.175
art.jar,earleyIndexedPoolV3_g++.bat,C,ansi_c/earleyTableData/ansi_c.art,rhul/earleyTableData/bool.tok,4291,ARTEarleyIndexedPool (C),accept,30,27.259,28.863,27.988,27.643,***,27.259,27.698,27.716,27.741,27.803,27.811,27.825,27.836,27.837,27.851,27.87,27.912,27.937,27.942,27.946,27.957,27.982,27.983,28.003,28.016,28.018,28.062,28.114,28.146,28.206,28.243,28.243,28.334,28.486,28.863
art.jar,earleyTableIndexedPoolV3.bat,C,ansi_c/earleyTableData/ansi_c.art,rhul/earleyTableData/bool.tok,4291,ARTEarleyTableIndexedPool,accept,30,35.595,44.908,39.627,36.61,***,35.595,36.609,36.776,36.874,37.198,37.201,37.589,37.678,37.816,38.017,38.055,38.243,38.393,38.419,38.639,39.107,39.198,39.551,39.899,39.908,40.138,42.098,42.112,42.491,42.539,42.736,43.176,43.599,44.247,44.908
art.jar,earleyTableIndexedPoolV3_g++.bat,C,ansi_c/earleyTableData/ansi_c.art,rhul/earleyTableData/bool.tok,4291,ARTEarleyTableIndexedPool (C),accept,30,11.684,12.649,12.058,11.749,***,11.684,11.714,11.754,11.795,11.797,11.869,11.914,11.956,11.977,11.977,11.992,11.993,12.024,12.046,12.076,12.099,12.106,12.148,12.149,12.152,12.156,12.161,12.19,12.198,12.203,12.208,12.236,12.239,12.267,12.649
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,C,ansi_c/earleyTableData/ansi_c.gtb,rhul/earleyTableData/gtb_src.tok,36827,BRNLGR (GTB with Pool),accept,30,149.311,184.275,153.546,150.488,***,149.311,150.609,150.781,150.84,150.897,150.929,151.039,151.073,151.322,151.449,151.537,151.627,151.981,152.07,152.096,152.108,152.117,152.154,152.236,152.298,152.375,152.765,152.812,152.824,153,153.362,154.221,154.528,167.73,184.275
art.jar,earleyIndexedPoolV3.bat,C,ansi_c/earleyTableData/ansi_c.art,rhul/earleyTableData/gtb_src.tok,36827,ARTEarleyIndexedPool,accept,30,610.781,921.575,743.56,631.406,***,610.781,610.829,640.124,646.246,649.051,655.301,659.291,666.015,675.262,690.312,699.536,702.826,722.966,733.79,750.112,753.952,755.071,755.479,761.173,770.797,803.729,811.631,813.528,816.804,823.45,833.095,845.31,851.04,877.73,921.575
art.jar,earleyIndexedPoolV3_g++.bat,C,ansi_c/earleyTableData/ansi_c.art,rhul/earleyTableData/gtb_src.tok,36827,ARTEarleyIndexedPool (C),accept,30,257.582,262.921,259.816,257.928,***,257.582,257.649,257.839,258.11,258.459,258.534,258.566,258.732,259.144,259.246,259.556,259.722,259.761,259.886,259.919,260.001,260.006,260.088,260.129,260.192,260.533,260.548,260.625,260.864,260.982,261.059,261.126,261.205,261.509,262.921
art.jar,earleyTableIndexedPoolV3.bat,C,ansi_c/earleyTableData/ansi_c.art,rhul/earleyTableData/gtb_src.tok,36827,ARTEarleyTableIndexedPool,accept,30,137.796,189.948,152.06,139.988,***,137.796,139.975,139.985,140.93,141.256,142.2,143.133,143.136,144.022,144.837,145.323,145.891,146.669,146.73,147.535,149.957,150.181,151.211,152.043,153.02,155.329,157.884,159.441,159.872,161.338,162.66,164.8,170.26,174.445,189.948
art.jar,earleyTableIndexedPoolV3_g++.bat,C,ansi_c/earleyTableData/ansi_c.art,rhul/earleyTableData/gtb_src.tok,36827,ARTEarleyTableIndexedPool (C),accept,30,62.846,98.391,67.294,63.075,***,62.846,62.927,63.074,63.242,63.288,63.342,63.348,63.405,63.445,63.984,64.007,64.037,64.119,64.201,64.216,64.248,64.32,64.471,64.493,64.58,64.595,64.601,64.639,64.644,64.751,64.781,79.933,81.011,95.891,98.391
