 ,script,language,grammar,string,tokens,algorithm,result,Runs,TMin,TMax,TMean,TBest5Mean,,Results...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,C,ansi_c/earleyTableData/ansi_c.gtb,rhul/earleyTableData/c1.tok,4291,BRNLGR (GTB with Pool),accept,30,15.107,16.957,16.029,15.357,***,15.107,15.258,15.43,15.474,15.516,15.547,15.616,15.729,15.733,15.814,15.825,15.831,15.878,15.899,16.03,16.042,16.077,16.128,16.148,16.201,16.279,16.319,16.354,16.398,16.515,16.563,16.673,16.711,16.804,16.957
art.jar,earleyIndexedPoolV3.bat,C,ansi_c/earleyTableData/ansi_c.art,rhul/earleyTableData/c1.tok,4291,ARTEarleyIndexedPool,accept,30,81.403,100.886,90.851,85.385,***,81.403,85.735,86.453,86.577,86.755,86.879,87.051,87.913,88.122,88.596,89.792,89.846,89.887,89.894,90.178,90.902,91.073,91.46,91.709,91.764,92.13,92.189,93.876,94.209,94.793,95.699,95.928,96.818,97.017,100.886
art.jar,earleyIndexedPoolV3_g++.bat,C,ansi_c/earleyTableData/ansi_c.art,rhul/earleyTableData/c1.tok,4291,ARTEarleyIndexedPool (C),accept,30,26.519,29.153,28.387,27.706,***,26.519,27.763,28.055,28.063,28.13,28.157,28.228,28.231,28.235,28.247,28.257,28.267,28.292,28.353,28.406,28.409,28.454,28.464,28.469,28.557,28.639,28.656,28.668,28.708,28.709,28.799,28.806,28.881,29.038,29.153
art.jar,earleyTableIndexedPoolV3.bat,C,ansi_c/earleyTableData/ansi_c.art,rhul/earleyTableData/c1.tok,4291,ARTEarleyTableIndexedPool,accept,30,36.425,46.5,39.944,37.238,***,36.425,36.645,37.477,37.708,37.933,37.966,38.111,38.195,38.198,38.282,38.605,38.668,38.675,38.895,38.953,38.975,39.115,39.547,39.801,39.86,41.151,41.879,42.228,42.414,42.506,42.748,42.871,43.7,44.276,46.5
art.jar,earleyTableIndexedPoolV3_g++.bat,C,ansi_c/earleyTableData/ansi_c.art,rhul/earleyTableData/c1.tok,4291,ARTEarleyTableIndexedPool (C),accept,30,9.965,12.394,11.671,11.145,***,9.965,11.356,11.428,11.469,11.509,11.511,11.538,11.552,11.561,11.579,11.584,11.606,11.608,11.635,11.653,11.673,11.727,11.746,11.751,11.761,11.778,11.78,11.783,11.793,11.885,11.918,12.024,12.223,12.352,12.394
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,C,ansi_c/earleyTableData/ansi_c.gtb,rhul/earleyTableData/c2.tok,26551,BRNLGR (GTB with Pool),accept,30,98.441,107.899,104.103,100.721,***,98.441,98.81,101.647,102.061,102.648,102.834,102.907,103.184,103.242,103.41,103.418,103.58,103.849,104.129,104.161,104.176,104.21,104.343,104.706,104.885,104.943,105.215,105.418,105.559,105.933,106.353,106.527,106.82,107.783,107.899
art.jar,earleyIndexedPoolV3.bat,C,ansi_c/earleyTableData/ansi_c.art,rhul/earleyTableData/c2.tok,26551,ARTEarleyIndexedPool,accept,30,497.736,726.674,596.748,504.556,***,497.736,501.81,506.559,507.155,509.519,510.497,513.637,513.857,514.701,514.778,515.479,523.803,526.032,526.343,572.001,601.277,623.03,636.318,654.672,661.19,679.214,679.526,684.052,685.301,687.905,703.239,704.33,706.766,715.035,726.674
art.jar,earleyIndexedPoolV3_g++.bat,C,ansi_c/earleyTableData/ansi_c.art,rhul/earleyTableData/c2.tok,26551,ARTEarleyIndexedPool (C),accept,30,186.837,205.938,196.733,193.713,***,186.837,194.875,195.545,195.653,195.655,196.051,196.241,196.316,196.53,196.597,196.598,196.646,196.684,196.827,196.837,196.848,196.937,197.054,197.086,197.1,197.237,197.269,197.28,197.341,197.364,197.434,197.547,197.571,198.078,205.938
art.jar,earleyTableIndexedPoolV3.bat,C,ansi_c/earleyTableData/ansi_c.art,rhul/earleyTableData/c2.tok,26551,ARTEarleyTableIndexedPool,accept,30,106.787,123.406,114.508,108.913,***,106.787,108.852,109.4,109.643,109.881,109.943,110.235,111.25,112.215,112.29,112.959,113.31,113.431,113.617,113.972,114.42,114.443,115.251,115.794,115.862,116.471,116.836,117.429,118.799,119.283,119.37,119.476,119.483,121.145,123.406
art.jar,earleyTableIndexedPoolV3_g++.bat,C,ansi_c/earleyTableData/ansi_c.art,rhul/earleyTableData/c2.tok,26551,ARTEarleyTableIndexedPool (C),accept,30,49.947,143.167,53.727,50.171,***,49.947,49.968,50.264,50.294,50.383,50.402,50.405,50.414,50.418,50.421,50.424,50.456,50.484,50.503,50.596,50.601,50.608,50.64,50.663,50.673,50.75,50.879,51.009,51.03,51.042,51.142,51.19,51.378,51.65,143.167
